Symbol,Date,Open,High,Low,Close,Volume
LULU,10/6/2023,360,368.779999,354.660004,367.220001,1677900
GOOG,11/1/2023,125.339996,127.739998,124.925003,127.57,26536600
GOOG,12/28/2023,141.850006,142.270004,140.828003,141.279999,12192500
GOOGL,7/28/2023,130.779999,133.740005,130.570007,132.580002,36591200
LULU,12/8/2023,455.880005,493.799988,448.809998,489.640015,7136900
GOOGL,2/26/2024,142.139999,142.440002,137.389999,137.570007,53641800
GOOGL,10/27/2023,122.879997,123.309998,120.209999,122.169998,44566500
LULU,12/15/2023,486.459991,492.190002,483.809998,491.459991,2676900
GOOGL,9/29/2023,133.279999,134.050003,130.360001,130.860001,30848100
GOOG,10/2/2023,132.154999,135.360001,132.065002,135.169998,19210400
BTC-USD,8/16/2023,29169.07422,29221.97656,28701.7793,28701.7793,14949271904
LULU,5/23/2023,362.399994,362.98999,352.450012,353.859985,1589000
TSLA,1/11/2024,230.570007,230.929993,225.369995,227.220001,105873600
GOOG,2/26/2024,143.449997,143.839996,138.740005,138.75,33513000
GOOGL,6/16/2023,125.93,126.110001,123.279999,123.529999,45514000
BTC-USD,5/27/2023,26720.18164,26888.88281,26621.14063,26868.35352,7892015141
BTC-USD,1/16/2024,42499.33594,43566.27344,42085.99609,43154.94531,24062872740
GOOGL,3/22/2024,149.149994,151.505005,148.988007,151.285797,7379273
LULU,10/3/2023,378.839996,381.529999,365.179993,368.339996,1652700
GOOG,6/2/2023,124.489998,126.745003,124.349998,125.230003,19362400
GOOG,10/19/2023,139.800003,141.005005,138.600006,138.979996,21831200
LULU,2/7/2024,459.040009,463.25,456.200012,457.75,1013300
LULU,10/16/2023,402.23999,419.01001,401.839996,416.640015,11454200
TSLA,8/8/2023,247.449997,250.919998,245.009995,249.699997,96642200
LULU,9/29/2023,387.350006,389.959991,382.200012,385.609985,1509100
TSLA,12/5/2023,233.869995,246.660004,233.699997,238.720001,137971100
BTC-USD,7/10/2023,30172.42383,31026.08398,29985.39453,30414.4707,14828209155
BTC-USD,9/21/2023,27129.83984,27152.93945,26389.30078,26567.63281,13371443708
BTC-USD,7/5/2023,30778.72461,30877.33008,30225.61328,30514.16602,12481622280
TSLA,6/16/2023,258.920013,263.600006,257.209991,260.540009,167563700
GOOG,8/23/2023,130.850006,134.070007,130.509995,133.210007,26497000
BTC-USD,11/8/2023,35419.47656,35994.41797,35147.80078,35655.27734,17295394918
GOOGL,1/3/2024,137.25,139.630005,137.080002,138.919998,24212100
BTC-USD,9/23/2023,26578.55664,26634.18555,26520.51953,26579.39063,7404700301
GOOG,1/16/2024,143.429993,145.839996,143.056,144.080002,19198900
BTC-USD,12/6/2023,44080.02344,44265.76953,43478.08203,43746.44531,29909761586
LULU,2/1/2024,454.899994,463.029999,454.019989,461.940002,1526200
TSLA,4/19/2023,179.100006,183.5,177.649994,180.589996,125732700
TSLA,8/17/2023,226.059998,226.740005,218.830002,219.220001,120718400
BTC-USD,10/2/2023,27976.79883,28494.45898,27347.78711,27530.78516,19793041322
